"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"MAIOR D MIRCEA","D.R.D.P. Cluj-Sectia de Drumuri Nationale Oradea","SEF DISTRICT","Abramut","Bihor","23.05.2022","Declaraţie de avere"
"KOVACS V MARTA","Comuna Abramut","Consilier local","Abramut","Bihor","14.06.2022","Declaraţie de avere"
"Dat G Lucian Gheorghe","Agentia Nationala De Administrare Fiscala","Inspector","Abramut","Bihor","04.04.2022","Declaraţie de avere"
"CORPAS O MARIUS-FLORIN","Comuna Abramut","Consilier local","Abramut","Bihor","10.06.2022","Declaraţie de avere"
"PUSCAS V LUCIA","Comuna Abramut","Consilier local","Abramut","Bihor","15.06.2022","Declaraţie de avere"
"GALER E NICOLAIE BOGDAN","Municipiul Marghita","Politist local","Abramut","Bihor","15.06.2022","Declaraţie de avere"
"GALER E NICOLAIE BOGDAN","Municipiul Marghita","Politist local","Abramut","Bihor","14.04.2022","Declaraţie de avere"
"GALER E NICOLAIE BOGDAN","Primaria Municipiul Oradea","Politist local","Abramut","Bihor","12.04.2022","Declaraţie de avere"
"GALER E NICOLAIE BOGDAN","Primaria Municipiul Oradea","Politist local","Abramut","Bihor","28.03.2022","Declaraţie de avere"
"PAPIT A MONICA-CAMELIA","Comuna Abramut","Consilier Asistent","Abramut","Bihor","31.05.2022","Declaraţie de avere"
"BEBEK G ALINA-ROXANA","Comuna Abramut","Consilier Asistent","Abramut","Bihor","27.05.2022","Declaraţie de avere"
"Karetka L Ildikó","Municipiul Marghita","Inspector","Abramut","Bihor","16.05.2022","Declaraţie de avere"
