"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"GHIRA A SANDA JULIANA","Scoala Gimnaziala Avram Iancu-tarnaveni","Director adjunct","Adamus","Mures","15.06.2022","Declaraţie de avere"
"MIHU M DARIUS","Unitatea Militara 02537 Bucuresti","Sef Compartiment","Adamus","Mures","08.06.2022","Declaraţie de avere"
"MAXIM R SAMUEL DANIEL","Comuna Adamus","Consilier local","Adamus","Mures","15.06.2022","Declaraţie de avere"
"BORDI A ANDREI LEVENTE","Comuna Adamus","Consilier local","Adamus","Mures","15.06.2022","Declaraţie de avere"
"SZABO I ANA MARIA","Comuna Adamus","Inspector","Adamus","Mures","15.06.2022","Declaraţie de avere"
"FULEKI I KAROLY","Comuna Adamus","Consilier local","Adamus","Mures","14.06.2022","Declaraţie de avere"
"SAVU I ANA DANIELA","Comuna Adamus","Inspector superior","Adamus","Mures","14.06.2022","Declaraţie de avere"
"COCIS A.A SZILARD ALEXANDRU","Comuna Adamus","Consilier local","Adamus","Mures","14.06.2022","Declaraţie de avere"
"SAVU i IOAN GABRIEL","Comuna Adamus","Politist local","Adamus","Mures","14.06.2022","Declaraţie de avere"
"ANDREI V ILIE MARIAN","Comuna Adamus","Viceprimar","Adamus","Mures","14.06.2022","Declaraţie de avere"
"TAREAN I STEFANA","Comuna Adamus","Referent Superior","Adamus","Mures","07.06.2022","Declaraţie de avere"
"BUCUR GHE. TEODORA MARIA","Comuna Adamus","Inspector superior","Adamus","Mures","07.06.2022","Declaraţie de avere"
"Dobai A Lorand","Municipiul Tarnaveni","Consilier superior","Adamus","Mures","14.06.2022","Declaraţie de avere"
"VASZI E DORINA","Comuna Adamus","Referent","Adamus","Mures","08.06.2022","Declaraţie de avere"
"Moldovan P Ana Emanuela","Municipiul Tarnaveni","Consilier","Adamus","Mures","10.06.2022","Declaraţie de avere"
