"Nume Prenume","Institutie","Functie","Localitate","Judet","Data completare declaratie","Tip declaratie"
"FULEKY KAROLY","Primaria","CONSILIER LOCAL","Adamus","Mures","27.11.2020","Declaratie de avere"
"MAXIM R SAMUEL DANIEL","Primaria","CONSILIER LOCAL","Adamus","Mures","02.12.2020","Declaratie de avere"
"GABOR SANDOR","Primaria","CONSILIER LOCAL","Adamus","Mures","27.11.2020","Declaratie de avere"
"KALNAN HAJNALKA","Primaria","CONSILIER LOCAL","Adamus","Mures","27.11.2020","Declaratie de avere"
"VASCAN FLORIN","Primaria","CONSILIER","Adamus","Mures","27.11.2020","Declaratie de avere"
"MIKLOS TIBOR LASZLO","Primaria","PRIMAR","Adamus","Mures","27.11.2020","Declaratie de avere"
"COCIS A SZILARD ALEXANDRU","Primaria","CONSILIER LOCAL","Adamus","Mures","26.11.2020","Declaratie de avere"
"ANDREI ILIE MARIAN","Primaria","VICEPRIMAR","Adamus","Mures","27.11.2020","Declaratie de avere"
"BERES SANDOR OSABA","Primaria","CONSILIER","Adamus","Mures","25.11.2020","Declaratie de avere"
"MORARIU OLIVIU","Primaria","CONSILIER","Adamus","Mures","26.11.2020","Declaratie de avere"
"BANCI VICTOR","Primaria","PENSIONAR","Adamus","Mures","25.11.2020","Declaratie de avere"
"MARKOS GYORGY ESABA","Primaria","CONSILIER LOCAL","Adamus","Mures","25.11.2020","Declaratie de avere"
"BORDI ANDREI LEVENTE","Primaria","CONSILIER LOCAL","Adamus","Mures","25.11.2020","Declaratie de avere"
"SZEKELY KIRALY ERSZEBET","Primaria","CONSILIER","Adamus","Mures","25.11.2020","Declaratie de avere"
"SUCIU GABRIEL SORIN","Primaria","CONSILIER LOCAL","Adamus","Mures","26.11.2020","Declaratie de avere"
"LOGHIN KATALIN GIZELA","Primaria","CONSILIER LOCAL","Adamus","Mures","25.11.2020","Declaratie de avere"
"TATAR IULIU","Primaria","NECOMPLETAT","Adamus","Mures","02.12.2020","Declaratie de avere"
"CRISAN DAN MIRCEA","Primarii","CONSILIER LOCAL","Adamus","Arges","10.11.2020","Declaratie de avere"
"CIAPO LUDOVIC","Primarii","CONSILIER","Adamus","Arges","10.11.2020","Declaratie de avere"
"SZABO MATEI LEHEL","Primarii","CONSILIER LOCAL","Adamus","Arges","10.11.2020","Declaratie de avere"
"SZABO SAMUEL","Primarii","CONSILIER","Adamus","Arges","11.11.2020","Declaratie de avere"
"MEGHESAN TEODOR","Primarii","CONSILIER LOCAL","Adamus","Arges","12.11.2020","Declaratie de avere"
